seq_a	seq_b	identity	coverage	comparable	identical
WP_051458318.1	WP_051761427.1	0.927107	0.997727	439	407
WP_051642935.1	WP_057280934.1	0.975845	1.000000	414	404
WP_052067485.1	WP_093590748.1	0.938356	0.912500	292	274
WP_052142878.1	WP_059622980.1	0.973274	1.000000	449	437
WP_052142878.1	WP_080498849.1	0.986637	1.000000	449	443
WP_052334926.1	WP_053772880.1	0.985849	1.000000	424	418
WP_053244068.1	WP_088326165.1	0.986111	1.000000	432	426
WP_053299209.1	WP_064801520.1	0.935035	1.000000	431	403
WP_053471386.1	WP_056209640.1	0.983607	1.000000	427	420
WP_053471386.1	WP_073243758.1	0.903981	1.000000	427	386
WP_054407042.1	WP_099372365.1	0.970522	1.000000	441	428
WP_054724085.1	WP_054851363.1	0.930233	1.000000	387	360
WP_054724085.1	WP_069674097.1	0.932642	0.997416	386	360
WP_054724085.1	WP_084176749.1	0.966408	1.000000	387	374
WP_054724085.1	WP_088696231.1	0.930233	1.000000	387	360
WP_054724085.1	WP_092208436.1	0.976744	1.000000	387	378
WP_054724085.1	WP_092447190.1	0.919897	1.000000	387	356
WP_054724085.1	WP_092468852.1	1.000000	1.000000	387	387
WP_054724085.1	WP_092580646.1	0.971503	0.997416	386	375
WP_054725864.1	WP_066514271.1	0.980952	1.000000	420	412
WP_054725864.1	WP_072598063.1	0.992857	1.000000	420	417
WP_054725864.1	WP_088712621.1	0.997619	1.000000	420	419
WP_054851363.1	WP_069674097.1	0.919689	0.997416	386	355
WP_054851363.1	WP_084176749.1	0.919897	1.000000	387	356
WP_054851363.1	WP_088696231.1	1.000000	1.000000	387	387
WP_054851363.1	WP_092208436.1	0.932817	1.000000	387	361
WP_054851363.1	WP_092468852.1	0.930233	1.000000	387	360
WP_054851363.1	WP_092580646.1	0.919689	0.997416	386	355
WP_055133795.1	WP_059333817.1	1.000000	1.000000	404	404
WP_055441081.1	WP_085789107.1	0.963068	1.000000	352	339
WP_056025367.1	WP_058745239.1	0.920635	1.000000	441	406
WP_056209640.1	WP_073243758.1	0.911007	1.000000	427	389
WP_056888902.1	WP_091126758.1	0.990783	1.000000	434	430
WP_057498726.1	WP_057502543.1	0.983607	1.000000	427	420
WP_057498726.1	WP_062171242.1	0.950820	1.000000	427	406
WP_057498726.1	WP_082340613.1	0.941452	1.000000	427	402
WP_057498726.1	WP_088100472.1	0.981308	1.000000	428	420
WP_057502543.1	WP_062171242.1	0.962529	1.000000	427	411
WP_057502543.1	WP_082340613.1	0.948478	1.000000	427	405
WP_057502543.1	WP_088100472.1	0.997658	1.000000	427	426
WP_058195190.1	WP_093081848.1	0.906323	1.000000	427	387
WP_058568616.1	WP_066419254.1	0.952830	1.000000	424	404
WP_058568616.1	WP_089699122.1	0.971698	1.000000	424	412
WP_058568616.1	WP_092907645.1	0.950472	1.000000	424	403
WP_058572808.1	WP_074796062.1	0.985673	1.000000	349	344
WP_058572808.1	WP_089880661.1	0.919771	1.000000	349	321
WP_058870690.1	WP_087527547.1	1.000000	1.000000	395	395
WP_058963777.1	WP_087287470.1	0.901679	1.000000	417	376
WP_058963777.1	WP_087292483.1	0.997602	1.000000	417	416
WP_059598007.1	WP_059875185.1	0.983683	1.000000	429	422
WP_059598007.1	WP_060074291.1	0.983683	1.000000	429	422
WP_059598007.1	WP_071068901.1	0.988345	1.000000	429	424
WP_059598007.1	WP_080466871.1	0.974790	0.991667	238	232
WP_059598007.1	WP_090548054.1	0.974359	1.000000	429	418
WP_059622980.1	WP_080498849.1	0.979955	1.000000	449	440
WP_059848415.1	WP_060274988.1	0.981013	1.000000	316	310
WP_059848415.1	WP_092416777.1	0.901899	1.000000	316	285
WP_059875185.1	WP_060074291.1	0.976690	1.000000	429	419
WP_059875185.1	WP_071068901.1	0.981352	1.000000	429	421
WP_059875185.1	WP_080466871.1	0.962185	0.991667	238	229
WP_059875185.1	WP_090548054.1	0.972028	1.000000	429	417
WP_059945304.1	WP_085482892.1	0.910377	1.000000	424	386
WP_059945304.1	WP_089457547.1	0.950472	1.000000	424	403
WP_059945304.1	WP_100085051.1	0.957547	1.000000	424	406
WP_060074291.1	WP_071068901.1	0.976690	1.000000	429	419
WP_060074291.1	WP_080466871.1	0.962343	0.995833	239	230
WP_060074291.1	WP_090548054.1	0.972028	1.000000	429	417
WP_060422788.1	WP_060527926.1	0.989691	1.000000	388	384
WP_060422788.1	WP_063415881.1	0.961340	1.000000	388	373
WP_060422788.1	WP_088912163.1	0.979381	1.000000	388	380
WP_060527926.1	WP_063415881.1	0.951031	1.000000	388	369
WP_060527926.1	WP_088912163.1	0.969072	1.000000	388	376
WP_061247661.1	WP_061254329.1	0.957105	1.000000	373	357
WP_061437684.1	WP_101603479.1	0.990453	1.000000	419	415
WP_061516783.1	WP_101237571.1	0.930070	1.000000	429	399
WP_061934618.1	WP_090674307.1	0.938356	1.000000	438	411
WP_062171242.1	WP_082340613.1	0.932084	1.000000	427	398
WP_062171242.1	WP_088100472.1	0.960187	1.000000	427	410
WP_062436241.1	WP_065715042.1	0.983562	1.000000	365	359
WP_062480250.1	WP_092569305.1	0.946835	1.000000	395	374
WP_062618762.1	WP_072349419.1	0.952880	1.000000	382	364
WP_062649003.1	WP_093736218.1	0.918317	1.000000	404	371
WP_062755455.1	WP_064221217.1	0.963380	1.000000	355	342
WP_062755455.1	WP_090949002.1	0.938028	1.000000	355	333
WP_062755455.1	WP_094238542.1	0.966197	1.000000	355	343
WP_062769735.1	WP_100239904.1	0.989339	1.000000	469	464
WP_062785620.1	WP_066798582.1	0.939252	1.000000	428	402
WP_062785620.1	WP_067182979.1	0.976636	1.000000	428	418
WP_062785620.1	WP_083592923.1	0.939110	1.000000	427	401
WP_063415881.1	WP_088912163.1	0.981959	1.000000	388	381
WP_064102502.1	WP_099746951.1	0.905530	1.000000	434	393
WP_064221217.1	WP_090949002.1	0.923944	1.000000	355	328
WP_064221217.1	WP_094238542.1	0.985915	1.000000	355	350
WP_065656394.1	WP_080826257.1	0.925000	1.000000	440	407
WP_065664089.1	WP_075225804.1	0.978972	1.000000	428	419
WP_065720110.1	WP_076783222.1	0.922252	1.000000	373	344
WP_065818629.1	WP_074637371.1	0.988789	1.000000	446	441
WP_065818629.1	WP_080458312.1	0.979821	1.000000	446	437
WP_065818629.1	WP_088664286.1	0.968610	1.000000	446	432
WP_066419254.1	WP_089699122.1	0.971698	1.000000	424	412
WP_066419254.1	WP_092907645.1	0.992925	1.000000	424	421
WP_066514271.1	WP_072598063.1	0.983333	1.000000	420	413
WP_066514271.1	WP_088712621.1	0.983333	1.000000	420	413
WP_066798582.1	WP_067182979.1	0.950935	1.000000	428	407
WP_066798582.1	WP_083592923.1	0.925059	1.000000	427	395
WP_067182979.1	WP_083592923.1	0.943794	1.000000	427	403
WP_068094634.1	WP_075628771.1	0.918033	0.997664	427	392
WP_068094634.1	WP_093081848.1	0.906542	1.000000	428	388
WP_069674097.1	WP_084176749.1	0.945596	0.997416	386	365
WP_069674097.1	WP_088696231.1	0.919689	0.997416	386	355
WP_069674097.1	WP_092208436.1	0.932642	0.997416	386	360
WP_069674097.1	WP_092468852.1	0.932642	0.997416	386	360
WP_069674097.1	WP_092580646.1	0.922280	0.997416	386	356
WP_071036708.1	WP_071069330.1	0.992611	1.000000	406	403
WP_071068901.1	WP_080466871.1	0.970588	0.991667	238	231
WP_071068901.1	WP_090548054.1	0.972028	1.000000	429	417
WP_072598063.1	WP_088712621.1	0.995238	1.000000	420	418
WP_072885920.1	WP_078690884.1	0.945545	1.000000	404	382
WP_072885920.1	WP_085471791.1	0.943069	1.000000	404	381
WP_072885920.1	WP_088264063.1	1.000000	1.000000	404	404
WP_072885920.1	WP_101726682.1	0.965347	1.000000	404	390
WP_073555659.1	WP_102182189.1	0.994490	1.000000	363	361
WP_074100515.1	WP_076305724.1	0.926136	1.000000	352	326
WP_074290364.1	WP_096861749.1	0.982368	1.000000	397	390
WP_074637371.1	WP_080458312.1	0.986547	1.000000	446	440
WP_074637371.1	WP_088664286.1	0.970852	1.000000	446	433
WP_074724477.1	WP_101018292.1	0.960373	1.000000	429	412
WP_074796062.1	WP_089880661.1	0.914040	1.000000	349	319
WP_075634049.1	WP_097544715.1	0.901499	1.000000	467	421
WP_075666638.1	WP_077198807.1	0.983402	1.000000	241	237
WP_076628695.1	WP_092838824.1	0.944563	1.000000	469	443
WP_076628695.1	WP_093994043.1	0.978678	1.000000	469	459
WP_076628695.1	WP_094023191.1	0.957356	1.000000	469	449
WP_076628695.1	WP_097082795.1	0.950959	1.000000	469	446
WP_076815490.1	WP_102073886.1	0.981439	1.000000	431	423
WP_077292070.1	WP_086023002.1	0.904206	1.000000	428	387
WP_078690884.1	WP_085471791.1	0.938119	1.000000	404	379
WP_078690884.1	WP_088264063.1	0.945545	1.000000	404	382
WP_078690884.1	WP_101726682.1	0.960396	1.000000	404	388
WP_079083882.1	WP_099966378.1	0.979849	1.000000	397	389
WP_079392071.1	WP_079759401.1	1.000000	1.000000	428	428
WP_079392071.1	WP_088193538.1	0.936916	1.000000	428	401
WP_079759401.1	WP_088193538.1	0.936916	1.000000	428	401
WP_080458312.1	WP_088664286.1	0.973094	1.000000	446	434
WP_080466871.1	WP_090548054.1	0.953782	0.991667	238	227
WP_081295151.1	WP_097613865.1	0.973995	1.000000	423	412
WP_082340613.1	WP_088100472.1	0.946136	1.000000	427	404
WP_082819762.1	WP_095387428.1	0.988610	1.000000	439	434
WP_083862946.1	WP_096534863.1	0.901639	0.994565	366	330
WP_083862946.1	WP_096644251.1	0.910326	1.000000	368	335
WP_083871010.1	WP_099290241.1	0.939614	1.000000	414	389
WP_083871010.1	WP_100788469.1	0.917874	1.000000	414	380
WP_084176749.1	WP_088696231.1	0.919897	1.000000	387	356
WP_084176749.1	WP_092208436.1	0.950904	1.000000	387	368
WP_084176749.1	WP_092447190.1	0.927649	1.000000	387	359
WP_084176749.1	WP_092468852.1	0.966408	1.000000	387	374
WP_084176749.1	WP_092580646.1	0.955959	0.997416	386	369
WP_085471791.1	WP_088264063.1	0.943069	1.000000	404	381
WP_085471791.1	WP_101726682.1	0.950495	1.000000	404	384
WP_085482892.1	WP_100085051.1	0.903302	1.000000	424	383
WP_086023002.1	WP_092820763.1	0.906542	1.000000	428	388
WP_086833853.1	WP_096581191.1	0.928177	1.000000	362	336
WP_088194762.1	WP_097544715.1	0.910064	1.000000	467	425
WP_088264063.1	WP_101726682.1	0.965347	1.000000	404	390
WP_088696231.1	WP_092208436.1	0.932817	1.000000	387	361
WP_088696231.1	WP_092468852.1	0.930233	1.000000	387	360
WP_088696231.1	WP_092580646.1	0.919689	0.997416	386	355
WP_089457547.1	WP_100085051.1	0.957547	1.000000	424	406
WP_089699122.1	WP_092907645.1	0.969340	1.000000	424	411
WP_090949002.1	WP_094238542.1	0.923944	1.000000	355	328
WP_091979398.1	WP_092996166.1	0.955457	1.000000	449	429
WP_092208436.1	WP_092447190.1	0.912145	1.000000	387	353
WP_092208436.1	WP_092468852.1	0.976744	1.000000	387	378
WP_092208436.1	WP_092580646.1	0.963731	0.997416	386	372
WP_092447190.1	WP_092468852.1	0.919897	1.000000	387	356
WP_092447190.1	WP_092580646.1	0.922280	0.997416	386	356
WP_092468852.1	WP_092580646.1	0.971503	0.997416	386	375
WP_092838824.1	WP_093994043.1	0.940299	1.000000	469	441
WP_092838824.1	WP_094023191.1	0.942431	1.000000	469	442
WP_092838824.1	WP_097082795.1	0.938166	1.000000	469	440
WP_093026608.1	WP_099215415.1	0.957672	1.000000	378	362
WP_093896622.1	WP_094214393.1	0.929705	1.000000	441	410
WP_093896622.1	WP_100572090.1	0.925170	1.000000	441	408
WP_093994043.1	WP_094023191.1	0.953092	1.000000	469	447
WP_093994043.1	WP_097082795.1	0.946695	1.000000	469	444
WP_094023191.1	WP_097082795.1	0.980810	1.000000	469	460
WP_094214393.1	WP_100572090.1	0.990930	1.000000	441	437
WP_096732917.1	WP_102206006.1	0.993103	1.000000	435	432
WP_099290241.1	WP_100788469.1	0.910628	1.000000	414	377
